month,target,acquirer,sector_raw,deal_value_usdm,deal_type,stake_pct,ey_bucket,source_report,report_year
NA,Essar Steel India Ltd,"ArcelorMittal SA, Nippon Steel and Sumitomo Metal Corporation",Metals,6000,M&A,100,Industrials and Auto,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,GMR Airports Holding,"SSG Capital, GIC, Others",Travel and Transport,1100,PE investment,44.4,Industrials and Auto,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,GVK Airport Holdings,"NIIF, ADIA, PSP Investments",Travel and Transport,1100,PE investment,NA,Industrials and Auto,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Grofers India Pvt. Ltd.,"SoftBank Group Corp, KTB Ventures, Tiger Global, Abu Dhabi Investment Group and Sequoia Capital","Travel, transport and logistics",210,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2019,2019
NA,Olacabs.com-ANI Technologies Pvt. Ltd.,Hyundai Motor Co. and Kia Motors Corp.,"Travel, transport and logistics",300,M&A - Inbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2019,2019
NA,Yatra Online Pvt. Ltd.,Ebix Inc.,"Travel, transport and logistics",338,M&A - Outbound,100%,Industrials and Auto,Grant Thornton Dealtracker 2019,2019
NA,Adani Gas Ltd.,Total S.A.,Energy and natural resources,867,M&A - Inbound,37%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,GMR Airports Holding Ltd.,"Tata Group, GIC and SSG Capital Management",Infrastructure management,1150,PE Investment,44%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,GMR Chhattisgarh Energy Ltd.,Adani Power Ltd.,Energy and natural resources,512,M&A - Domestic,100%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,GVK Airport Developers Ltd and GVK Airport Holdings Ltd.,"Abu Dhabi Investment Authority, PSP Investments of Canada, and the National Investment and Infrastructure Fund",Infrastructure management,1072,PE Investment,79%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,IRB Infrastructure Developers Ltd.,GIC,Infrastructure management,622,PE Investment,NA,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,Pipeline Infrastructure Private Limited-East West Pipeline Limited,Brookfield Asset Management-InvIT,Energy and natural resources,1831,PE Investment,100%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,Reliance Pipeline Infrastructure India,Brookfield,Energy,1900,PE investment,100,Infrastructure,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Sadbhav Infrastructure Project - Nine operational road assets,L&T Infrastructure Development Projects Ltd.-IndInfravit Trust,Infrastructure management,959,M&A - Domestic,100%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,Sterlite Power Transmission Limited - 5 electricity transmission assets,India Grid Trust,Energy and natural resources,1660,M&A - Domestic,100%,Infrastructure,Grant Thornton Dealtracker 2019,2019
NA,Akums Drugs & Pharmaceuticals Ltd.,Quadria Capital,Pharma and biotech,70,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Cancer Treatment Services International,"Varian Medical Systems, Inc.",Hospitals,283,M&A - Inbound,100%,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,"Hotel Leelaventure Ltd.-hotels in New Delhi, Bengaluru, Chennai and Udaipur",Brookfield Asset Management,Hospitality and leisure,556,PE Investment,100%,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Lupin Ltd.-Kyowa Pharmaceutical Industry Co. Ltd.,Unison Capital Partners,Pharma and biotech,525,PE Investment,99.8%,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Max Healthcare Institute Ltd.,Radiant Life Care Pvt. Ltd.,Hospitals,301,M&A - Domestic,50%,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Max Healthcare Institute Ltd. and Max India Ltd.,Radiant Life Care Pvt. Ltd.-Healthcare Business,"Pharma, healthcare and biotech",1020,M&A - Domestic (Merger),NA,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Orchid Pharma Ltd.,Dhanuka Laboratories Ltd.,Pharma and biotech,162,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Piramal Enterprises Ltd.,Caisse de dépôt et placement du Québec,Pharma and biotech,250,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Rubicon Research Pvt. Ltd.,General Atlantic,Others (Pharma),100,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Strides Shasun Ltd. (Strides Pharma Global Pte)-Arrow Pharmaceuticals,Apotex Inc-Apotex Pty Ltd.,Pharma and biotech,282,M&A - Inbound,100%,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Tirupati Medicare Ltd.,Affirma Capital,Pharma and biotech,50,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2019,2019
NA,Bharti Airtel Ltd.,GIC,Telecom,704,PE Investment,4%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Druva Software Pvt. Ltd.,"Viking Global Investors, Neuberger Berman, Atreides Management, Riverwood Capital, Tenaya Capital and Nexus Venture Partners",Cloud technology,130,PE Investment,NA,Technology,Grant Thornton Dealtracker 2019,2019
NA,Icertis Inc.,"PremjiInvest, Greycroft Partners, B Capital Group, Cross Creek Advisors, Eight Roads, Ignition Partners, Meritech Capital Partners and PSP Growth",Software development,115,PE Investment,NA,Technology,Grant Thornton Dealtracker 2019,2019
NA,PayTM,"Alibaba, SoftBank Corp, Others",Technology,1000,PE investment,6.25,Technology,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Reliance Jio Infratel Pvt. Ltd.,Brookfield Asset Management Inc.,Telecom,3654,PE Investment,49%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Reliance Tower Infrastructure Trust,Brookfield,Telecom,3700,PE investment,NA,Technology,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Wipro Ltd. Workday and Cornerstone OnDemand businesses,Alight Solutions LLC,Cloud technology,100,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Zee Entertainment Enterprises Ltd,Invesco Oppenheimer Developing Markets Fund,Media and entertainment,595,PE Investment,11%,Technology,Grant Thornton Dealtracker 2019,2019
NA,ABN AMRO-Stater NV,Infosys Ltd.,IT solutions,143,M&A - Outbound,75%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Adani Gas Ltd,Total Holding SAS,Oil and Gas,1500,M&A,62.6,Infrastructure,"PwC Deals in India: Annual review and outlook for 2020 (Dec 2019, CY2019 data)",2019
NA,Fractal Analytics Ltd.,Apax Partners,Data analytics and AI,200,PE Investment,NA,Technology,Grant Thornton Dealtracker 2019,2019
NA,Haptik Infotech Private Limited,Reliance Jio Digital Services Ltd.,Data analytics and big data and AI,100,M&A - Domestic,87%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Hiveloop Technology Pvt. Ltd.-Udaan,"Tencent, Altimeter, Footpath Ventures, Hillhouse Capital, GGV Capital, Citi Ventures, Lightspeed Venture Partners and DST Global",Start-up,585,PE Investment,NA,Unclassified,Grant Thornton Dealtracker 2019,2019
NA,Mindtree Ltd.,Larsen & Toubro Ltd.,IT and ITeS,476,M&A - Domestic,20%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Mobiquity Inc.,Hexaware Technologies,IT solutions,182,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Mohalla Tech Pvt. Ltd.,"Twitter, TrustBridge Partners, Shunwei Capital, Lightspeed Venture Partners",Mobile VAS,100,PE Investment,NA,Technology,Grant Thornton Dealtracker 2019,2019
NA,NIIT Technologies Ltd.,Baring Private Equity,IT solutions,381,PE Investment,30%,Technology,Grant Thornton Dealtracker 2019,2019
NA,Oravel Stays Pvt. Ltd.-OYORooms.com,RA Hospitality Holdings-Cayman,Start-up,2000,M&A - Inbound (increasing stake),20%,Consumer Products and Retail,Grant Thornton Dealtracker 2019,2019
NA,Aditya Birla Fashion and Retail Ltd,Flipkart Online Services Pvt. Ltd.,Retail,203,M&A - Domestic,8%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Arvind Youth Brands Pvt. Ltd.-Flying Machine brand,Walmart Inc-Flipkart Online Services Pvt. Ltd.,Retail,34,M&A - Domestic,27%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,B9 Beverages Pvt. Ltd.-Bira 91 (2020 round),"Sequoia India, Sofina, Sixth Sense Ventures, Neoplux and family offices",FMCG,30,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,BrainBees Solutions Pvt ltd-Firstcry,Softbank's Vision Fund,Retail,296,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Eastern Condiments Pvt Ltd,MTR Foods Pvt. Ltd.,FMCG,181,M&A - Domestic,68%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Fifth Gear Ventures Ltd.-carandbike.com,Mahindra First Choice Wheels Ltd,Discovery platform (E-commerce),4,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Flipkart Online Services Pvt Ltd,Walmart Inc,E-commerce,1200,M&A - Inbound,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Future Lifestyle Fashions Ltd.,International Finance Corporation,Retail,30,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,GlaxoSmithKline Consumer Healthcare Limited-Horlicks India,Hindustan Unilever Ltd.,FMCG,412,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Pureplay Skin Sciences (India) Pvt. Ltd.-Plum,"Faering Capital, Trifecta Capital and Unilever Ventures",FMCG,15,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Pushp (Brand) India Pvt. Ltd.,A91 Partners,FMCG,16,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Reliance Retail Ventures Ltd.,Public Investment Fund,Retail and consumer,1291,PE Investment,2%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Reliance Retail Ventures Ltd.,Silver Lake,Retail and consumer,1000,PE Investment,1.8%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,"Reliance Retail Ventures Ltd. (aggregate of PIF, Silver Lake, Mubadala, ADIA, GIC, KKR, General Atlantic, TPG tranches)",Consortium of investors,Retail and consumer,6364,PE Investment (aggregate of multiple tranches),10.5%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,The Future Group-Retail and Wholesale business and Logistics & Warehousing business,Reliance Retail Ventures Ltd,Retail and consumer,3295,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Uber Eats India,Zomato Media Pvt Ltd,E-commerce,350,M&A - Domestic,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Urban Ladder Home Decor Solutions Pvt. Ltd.,Reliance Retail Ventures Ltd.,Retail (E-commerce),25,M&A - Domestic,96%,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Zomato Media Pvt Ltd (round A),"Luxor Capital Group LP, Kora Management LP, Mirae Asset Naver Asia Growth Investment Pte Ltd, Steadview Capital, Bow Wave Capital Management LP and Baillie Gifford & Co.",Food tech,195,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,Zomato Media Pvt Ltd (round B),Tiger Global Management LLC,Food tech,160,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2020,2020
NA,DHFL General Insurance Limited,Navi Technologies,Insurance & TPAs,14,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,DMI Finance Pvt. Ltd. (2020 round),Nexon Co. Ltd.,NBFC,123,M&A - Inbound,NA,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,Edelweiss Wealth Management (2020 round),PAG,Financial services,300,PE Investment,51%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,Home First Finance Company India Pvt. Ltd.,Warburg Pincus LLC-Orange Clove Investments BV,Banking,95,PE Investment,25%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,IDBI Federal Life Insurance Company Ltd.,Federal Bank Ltd.,Insurance & TPAs,67,M&A - Domestic,23%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,IndoStar Capital Finance Limited,Brookfield Asset Management,NBFC,204,PE Investment,40%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,National Stock Exchange of India Limited,TA Associates,Financial services,150,PE Investment,2%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,One MobiKwik Systems Pvt. Ltd.,Hindustan Media Ventures Ltd.,Fintech (E-commerce),6,M&A - Domestic,NA,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,Paysense Services India Pvt. Ltd.,PayU Payments Private Limited,Fintech (E-commerce),185,M&A - Domestic,NA,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,RBL Bank Ltd.,"Baring PE Asia, ICICI Prudential Life Insurance Co. Ltd., Gaja Capital and CDC Group",Banking,210,PE Investment,19.5%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,Raheja QBE General Insurance Company Ltd.,QORQL Pvt. Ltd.,Insurance & TPAs,38,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,YES Bank Ltd,"SBI, HDFC, ICICI Bank, Axis Bank Limited, Kotak Mahindra Bank, The Federal Bank, Bandhan Bank, IDFC First Bank",Banking and financial services,1389,M&A - Domestic,NA,Financial Services,Grant Thornton Dealtracker 2020,2020
NA,C&S Electric,Siemens Ltd,Manufacturing,296,M&A - Inbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Ecom Express Pvt. Ltd.,Partners Group,"Travel, transport and logistics",250,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Emami cement business,Nuvoco Vistas Corp Ltd (Nirma group),Manufacturing,775,M&A - Domestic,NA,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Jindal Steel and Power Limited-Jindal Shadeed Iron and Steel Co LLC,Templar Investments Ltd.,Manufacturing,1000,PE Investment,100%,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Krishnapatnam Port Company Ltd,Adani Ports and Special Economic Zone Limited,Transport and logistics,1434,M&A - Domestic,75%,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Oravel Stays Pvt. Ltd.-OYORooms.com,Softbank and RA Hospitality Holdings,"Travel, transport and logistics",807,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Piramal Glass Private Limited,Blackstone Group Inc,Manufacturing,1000,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2020,2020
NA,Embassy Group-Embassy TechVillage,Embassy Office Parks REIT,Real estate,1322,M&A - Domestic,100%,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,GMR Airports Holding Ltd,Groupe Aeroports de Paris SA (ADP),Infrastructure management,1369,M&A - Inbound,49%,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,GMR Infrastructure's Kakinada SEZ non-core assets,Aurobindo Realty,Real estate,348,M&A - Domestic,NA,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,Lummus Technology LLC,Haldia Petrochemicals Ltd,Energy and natural resources,1544,M&A - Outbound,57%,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,"Prestige Group-Carved out Commercial, Retail and Hotel assets",The Blackstone Group Inc.,Real estate,1238,PE Investment,NA,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,RMZ Corp-12.5 million square feet of real estate assets and CoWrks,Brookfield Asset Management Inc,Real estate,2000,PE Investment,18%,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,THDC India Limited,NTPC Ltd,Energy and natural resources,1014,M&A - Domestic,74%,Infrastructure,Grant Thornton Dealtracker 2020,2020
NA,Aurobindo Pharma Ltd.-Natrol Inc.,New Mountain Capital,Pharma and biotech,550,PE Investment,100%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Biocon Biologics India Limited,Goldman Sachs,Pharma and biotech,150,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Celon Laboratories Private Limited,ZNZ Pharma 2 Ltd.,Pharma and biotech,75,M&A - Inbound,74%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Columbia Asia Hospitals Pvt. Ltd.,Manipal Health Enterprises Ltd.,Hospitals,284,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,JB Chemicals & Pharmaceuticals Ltd,KKR & Co. Inc,Pharma and biotech,409,PE Investment,54%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Nicomac Clean Rooms Far East LLP,Taikisha Ltd.,Pharma and biotech,43,M&A - Inbound,74%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Piramal Enterprises Ltd-Piramal Pharma Ltd (2020 round),The Carlyle Group Inc.,Pharma and biotech,490,PE Investment,20%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,SeQuent Scientific Ltd,The Carlyle Group,Pharma and biotech,210,PE Investment,74%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Serum Institute of India Pvt. Ltd.-Praha Vaccines a.s.,Novavax Inc.,Pharma and biotech,167,M&A - Inbound,100%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Wockhardt Ltd's generics drug business in India and a few other countries,Dr Reddy's Laboratories Ltd.,Pharma and biotech,260,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2020,2020
NA,Jio Platforms Ltd,Facebook Inc.,Telecom,5700,M&A - Inbound,10%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Jio Platforms Ltd,Google LLC,Telecom,4439,M&A - Inbound,8%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Jio Platforms Ltd.,Vista Equity Partners,Telecom,1496,PE Investment,2.3%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Jio Platforms Ltd.,KKR,Telecom,1496,PE Investment,2.3%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Jio Platforms Ltd.,Public Investment Fund (PIF),Telecom,1496,PE Investment,2.3%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Jio Platforms Ltd.,Mubadala,Telecom,1197,PE Investment,1.9%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Majesco ltd-Majesco USA,"Thoma Bravo, L. P",Software development,421,PE Investment,74%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Postdot Technologies Pvt Ltd-Postman,"Insight Partners, CRV and Nexus Venture Partners",Software development,150,PE Investment,NA,Technology,Grant Thornton Dealtracker 2020,2020
NA,Razorpay Software Pvt Ltd (2020 round),"GIC, Sequoia India, Ribbit Capital, Tiger Global, Y Combinator and Matrix Partners",Software development,100,PE Investment,NA,Technology,Grant Thornton Dealtracker 2020,2020
NA,Blue Acorn iCi Group,Infosys Ltd.,IT solutions,125,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2020,2020
NA,DWS Ltd.,HCL Technologies Ltd.,IT solutions,119,M&A - Domestic,100%,Technology,Grant Thornton Dealtracker 2020,2020
NA,GPX India Pvt. Ltd.,Equinix Inc.,IT solutions,161,M&A - Inbound,100%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Nxtra Data Limited,The Carlyle Group Inc.,IT solutions,235,PE Investment,25%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Piramal Enterprise Ltd.-Decision Resources Group,Clarivate Analytics Plc,Data analytics and big data and AI,950,M&A - Inbound,100%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Simplus-Outbox Systems Inc.,Infosys Ltd.,IT solutions,250,M&A - Outbound,100%,Technology,Grant Thornton Dealtracker 2020,2020
NA,Arvind Lifestyle Brands Ltd-Unlimited,V-Mart Retail Ltd,Retail,20,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,B9 Beverages Pvt Ltd-Bira 91 (M&A tranche),Kirin Holdings Company,FMCG,30,M&A - Inbound,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Bundl Technologies Pvt Ltd-Swiggy.com,"Falcon Edge Capital, Amansa Capital, Think Investments, Carmignac, Goldman Sachs, Prosus Ventures and Accel Partners",E-commerce,800,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Duroflex Pvt Ltd,Norwest Venture Partners,Consumer Durables,60,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Fashnear Technologies Pvt Ltd-Meesho,"Fidelity Management and Research Company, B Capital, Footpath Ventures, Trifecta Capital, Good Capital, SoftBank, Prosus Ventures, and Facebook",Retail,570,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Flipkart Online Services Pvt Ltd,"GIC, the Canada Pension Plan Investment Board, SoftBank Vision Fund 2, Walmart, Qatar Investment Authority, Khazanah Nasional Berhad, DisruptAD, Tencent, Franklin Templeton, Willoughby Capital, Antara Capital, and Tiger Global",E-commerce,3600,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Grofers India Pvt Ltd (M&A stake sale),Zomato Media Pvt Ltd,Retail,100,M&A - Domestic,9%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Hiveloop Technology Pvt Ltd-Udaan (2021 round),"Octahedron Capital, Moonstone Capital, Lightspeed Venture Partners, DST Global, GGV Capital, Altimeter Capital, and Tencent",Retail,280,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Imagine Marketing Pvt Ltd-boAt (round A),Warburg Pincus,Consumer Durables,100,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Imagine Marketing Pvt Ltd-boAt (round B),South Lake Investment,Consumer Durables,60,PE Investment,21.1%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Kottaram Agro Foods Pvt Ltd-Soulfull,Tata Consumer Products Ltd,FMCG,21,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Nobel Hygiene Pvt Ltd,Quadria Capital,FMCG,68,PE Investment,18.7%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Sabyasachi Couture Pvt Ltd,Aditya Birla Fashion and Retail Ltd,Retail,55,M&A - Domestic,51%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Supermarket Grocery Supplies Private Ltd-Innovative Retail Concepts Pvt Ltd-BigBasket.com,Tata Digital Private Ltd,E-commerce,1257,M&A - Domestic,64%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Videocon Industries Ltd,Twin Star Technologies Ltd,Consumer Durables,406,M&A - Domestic,100%,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Vini Cosmetics Pvt Ltd,KKR & Co.,Retail and consumer,625,PE Investment,NA,Consumer Products and Retail,Grant Thornton Dealtracker 2021,2021
NA,Dewan Housing Finance Corporation Ltd,Piramal Capital & Housing Finance Ltd,Banking and financial services,5103,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Edelweiss Wealth Management (2021 round),PAG,Financial Services,324,PE Investment,51.5%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Exide Life Insurance Co. Ltd,HDFC Life Insurance Company Ltd,Insurance and TPAs,904,M&A - Domestic,100%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Five Star Business Finance Ltd,"Sequoia Capital India, Norwest Venture Partners, KKR and TVS Capital",NBFC,234,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Fullerton India Credit Company Ltd,"Sumitomo Mitsui Financial Group, Inc",Banking and financial services,2000,M&A - Inbound,75%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,L&T Investment Management Ltd,HSBC Asset Management (India) Private Ltd,Financial services,425,M&A - Inbound,100%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Magma Fincorp Ltd,Rising SUN Holdings Pvt Ltd,NBFC,439,M&A - Domestic,60%,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Magma HDI General Insurance Co Ltd,"ICICI Venture and Morgan Stanley Private Equity Asia, Cyza Chem Pvt Ltd and two family offices",Insurance and TPAs,72,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,PNB Housing Finance Ltd,Carlyle Group and Salisbury Investments Pvt Ltd,Financial Services,533,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Star Health & Allied Insurance Co. Ltd,"GIC, The Capital Group and investors",Insurance and TPAs,164,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2021,2021
NA,Bhushan Power & Steel Ltd,JSW Steel Ltd,Manufacturing,2651,M&A - Domestic,100%,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,Delhivery Pvt Ltd,FedEx Express,"Travel, Transport & Logistics",100,M&A - Inbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,Embassy Industrial Parks Pvt Ltd,Blackstone Real Estate,Transport and logistics,709,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,Ideas Infolabs Pvt Ltd-Ninjacart,Walmart Inc-Flipkart Online Services Pvt Ltd,"Travel, Transport & Logistics",145,M&A - Domestic,NA,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,Olacabs.com-ANI Technologies Pvt Ltd (2021 round),"Temasek, Warburg Pincus and angel investor","Travel, Transport & Logistics",500,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,SUN Mobility Private Ltd,Vitol Group,Auto-tech,50,M&A - Inbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2021,2021
NA,Adani Green Energy Ltd (minority stake sale),Total SE,Energy and natural resources,2476,M&A - Inbound,20%,Infrastructure,Grant Thornton Dealtracker 2021,2021
NA,Avaada Energy Pvt Ltd,Global Power Synergy Public Company Ltd,Energy and natural resources,453,M&A - Inbound,NA,Infrastructure,Grant Thornton Dealtracker 2021,2021
NA,SB Energy India,Adani Green Energy Ltd,Energy and natural resources,3500,M&A - Outbound,100%,Infrastructure,Grant Thornton Dealtracker 2021,2021
NA,Acme Formulation Pvt Ltd,PAG,Pharma & Biotech,145,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Akna Medical Pvt Ltd-Aknamed,API Holdings Pvt Ltd-Pharmeasy,Health-tech,42,M&A - Domestic,NA,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Curefit Healthcare Pvt Ltd,Tata Digital Pvt Ltd,Health-tech,75,M&A - Domestic,NA,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Curefit Healthcare Pvt Ltd (partial),Zomato Media Pvt Ltd,Health-tech,50,M&A - Domestic,6%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Hemmo Pharmaceuticals Pvt Ltd,Piramal Enterprises Ltd-Piramal Pharma Ltd,Pharma & Biotech,106,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Manipal Health Enterprises Private Ltd (2021 round),NIIF Strategic Opportunities Fund,Hospitals,288,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2021,2021
NA,Sanofi India Ltd-Nutraceuticals business,Universal Nutriscience Pvt Ltd,Pharma & Biotech,78,M&A - Domestic,100%,Lifesciences,Grant Thornton Dealtracker 2021,2021
